id,politician_id,campaign_id,detail,date,status
P001,11223344,C001,ลดค่ารถไฟฟ้าเหลือ 20 บาทตลอดสาย,2023-05-01,กำลังดำเนินการ
P002,11223344,C001,เพิ่มพื้นที่สีเขียว 100 ไร่ในเขต 1,2023-05-05,ยังไม่เริ่ม
P003,22334455,C002,โครงการเรียนฟรีถึงปริญญาตรี,2023-04-20,เงียบหาย
P004,22334455,C002,ติดตั้งกล้อง CCTV ทั่วเมืองเชียงใหม่,2023-05-10,กำลังดำเนินการ
P005,33445566,C003,สร้างศูนย์กระจายสินค้าเกษตรประจำจังหวัด,2023-05-12,ยังไม่เริ่ม
P006,33445566,C003,ปรับปรุงถนนเส้นหลัก 4 เลน,2023-06-01,กำลังดำเนินการ
P007,44556677,C004,สวัสดิการผู้สูงอายุ 3000 บาทต่อเดือน,2023-04-15,เงียบหาย
P008,44556677,C004,สนับสนุนงบวิจัย Startup ประจำเขต,2023-05-20,ยังไม่เริ่ม
P009,55667788,C001,สร้างห้องสมุดดิจิทัลชุมชน,2023-05-18,กำลังดำเนินการ
P010,55667788,C001,นโยบายลดภาษีร้านค้าท้องถิ่น,2023-04-25,ยังไม่เริ่ม
P011,66778899,C002,ขยายโครงข่ายอินเทอร์เน็ตความเร็วสูงสู่ชุมชน,2023-05-25,กำลังดำเนินการ
P012,66778899,C002,ผลักดันกฎหมายเศรษฐกิจดิจิทัล,2023-05-30,ยังไม่เริ่ม